,Country_Region,Date,Confirmed,Deaths,Recovered,Continent,Population
40,Afghanistan,2020-03-02,1,0,0,Asia,38928346.0
41,Afghanistan,2020-03-03,1,0,0,Asia,38928346.0
42,Afghanistan,2020-03-04,1,0,0,Asia,38928346.0
43,Afghanistan,2020-03-05,1,0,0,Asia,38928346.0
44,Afghanistan,2020-03-06,1,0,0,Asia,38928346.0
45,Afghanistan,2020-03-07,1,0,0,Asia,38928346.0
46,Afghanistan,2020-03-08,4,0,0,Asia,38928346.0
47,Afghanistan,2020-03-09,4,0,0,Asia,38928346.0
48,Afghanistan,2020-03-10,5,0,0,Asia,38928346.0
49,Afghanistan,2020-03-11,7,0,0,Asia,38928346.0
50,Afghanistan,2020-03-12,7,0,0,Asia,38928346.0
51,Afghanistan,2020-03-13,7,0,0,Asia,38928346.0
52,Afghanistan,2020-03-14,11,0,0,Asia,38928346.0
53,Afghanistan,2020-03-15,16,0,0,Asia,38928346.0
54,Afghanistan,2020-03-16,21,0,1,Asia,38928346.0
55,Afghanistan,2020-03-17,22,0,1,Asia,38928346.0
56,Afghanistan,2020-03-18,22,0,1,Asia,38928346.0
57,Afghanistan,2020-03-19,22,0,1,Asia,38928346.0
58,Afghanistan,2020-03-20,24,0,1,Asia,38928346.0
59,Afghanistan,2020-03-21,24,0,1,Asia,38928346.0
60,Afghanistan,2020-03-22,40,1,1,Asia,38928346.0
61,Afghanistan,2020-03-23,40,1,1,Asia,38928346.0
62,Afghanistan,2020-03-24,74,1,1,Asia,38928346.0
63,Afghanistan,2020-03-25,84,2,2,Asia,38928346.0
64,Afghanistan,2020-03-26,94,4,2,Asia,38928346.0
65,Afghanistan,2020-03-27,110,4,2,Asia,38928346.0
66,Afghanistan,2020-03-28,110,4,2,Asia,38928346.0
67,Afghanistan,2020-03-29,120,4,2,Asia,38928346.0
68,Afghanistan,2020-03-30,170,4,2,Asia,38928346.0
69,Afghanistan,2020-03-31,174,4,5,Asia,38928346.0
70,Afghanistan,2020-04-01,237,4,5,Asia,38928346.0
71,Afghanistan,2020-04-02,273,6,10,Asia,38928346.0
72,Afghanistan,2020-04-03,281,6,10,Asia,38928346.0
73,Afghanistan,2020-04-04,299,7,10,Asia,38928346.0
74,Afghanistan,2020-04-05,349,7,15,Asia,38928346.0
75,Afghanistan,2020-04-06,367,11,18,Asia,38928346.0
76,Afghanistan,2020-04-07,423,14,18,Asia,38928346.0
77,Afghanistan,2020-04-08,444,14,29,Asia,38928346.0
78,Afghanistan,2020-04-09,484,15,32,Asia,38928346.0
79,Afghanistan,2020-04-10,521,15,32,Asia,38928346.0
80,Afghanistan,2020-04-11,555,18,32,Asia,38928346.0
81,Afghanistan,2020-04-12,607,18,32,Asia,38928346.0
82,Afghanistan,2020-04-13,665,21,32,Asia,38928346.0
83,Afghanistan,2020-04-14,714,23,40,Asia,38928346.0
84,Afghanistan,2020-04-15,784,25,43,Asia,38928346.0
85,Afghanistan,2020-04-16,840,30,54,Asia,38928346.0
86,Afghanistan,2020-04-17,906,30,99,Asia,38928346.0
87,Albania,2020-01-22,0,0,0,Europe,2877797.0
88,Albania,2020-01-23,0,0,0,Europe,2877797.0
89,Albania,2020-01-24,0,0,0,Europe,2877797.0
90,Albania,2020-01-25,0,0,0,Europe,2877797.0
91,Albania,2020-01-26,0,0,0,Europe,2877797.0
92,Albania,2020-01-27,0,0,0,Europe,2877797.0
93,Albania,2020-01-28,0,0,0,Europe,2877797.0
94,Albania,2020-01-29,0,0,0,Europe,2877797.0
95,Albania,2020-01-30,0,0,0,Europe,2877797.0
96,Albania,2020-01-31,0,0,0,Europe,2877797.0
97,Albania,2020-02-01,0,0,0,Europe,2877797.0
98,Albania,2020-02-02,0,0,0,Europe,2877797.0
99,Albania,2020-02-03,0,0,0,Europe,2877797.0
100,Albania,2020-02-04,0,0,0,Europe,2877797.0
101,Albania,2020-02-05,0,0,0,Europe,2877797.0
102,Albania,2020-02-06,0,0,0,Europe,2877797.0
103,Albania,2020-02-07,0,0,0,Europe,2877797.0
104,Albania,2020-02-08,0,0,0,Europe,2877797.0
105,Albania,2020-02-09,0,0,0,Europe,2877797.0
106,Albania,2020-02-10,0,0,0,Europe,2877797.0
107,Albania,2020-02-11,0,0,0,Europe,2877797.0
108,Albania,2020-02-12,0,0,0,Europe,2877797.0
109,Albania,2020-02-13,0,0,0,Europe,2877797.0
110,Albania,2020-02-14,0,0,0,Europe,2877797.0
111,Albania,2020-02-15,0,0,0,Europe,2877797.0
112,Albania,2020-02-16,0,0,0,Europe,2877797.0
113,Albania,2020-02-17,0,0,0,Europe,2877797.0
114,Albania,2020-02-18,0,0,0,Europe,2877797.0
115,Albania,2020-02-19,0,0,0,Europe,2877797.0
116,Albania,2020-02-20,0,0,0,Europe,2877797.0
117,Albania,2020-02-21,0,0,0,Europe,2877797.0
118,Albania,2020-02-22,0,0,0,Europe,2877797.0
119,Albania,2020-02-23,0,0,0,Europe,2877797.0
120,Albania,2020-02-24,0,0,0,Europe,2877797.0
121,Albania,2020-02-25,0,0,0,Europe,2877797.0
122,Albania,2020-02-26,0,0,0,Europe,2877797.0
123,Albania,2020-02-27,0,0,0,Europe,2877797.0
124,Albania,2020-02-28,0,0,0,Europe,2877797.0
125,Albania,2020-02-29,0,0,0,Europe,2877797.0
126,Albania,2020-03-01,0,0,0,Europe,2877797.0
127,Albania,2020-03-02,0,0,0,Europe,2877797.0
128,Albania,2020-03-03,0,0,0,Europe,2877797.0
129,Albania,2020-03-04,0,0,0,Europe,2877797.0
130,Albania,2020-03-05,0,0,0,Europe,2877797.0
131,Albania,2020-03-06,0,0,0,Europe,2877797.0
132,Albania,2020-03-07,0,0,0,Europe,2877797.0
133,Albania,2020-03-08,0,0,0,Europe,2877797.0
134,Albania,2020-03-09,2,0,0,Europe,2877797.0
135,Albania,2020-03-10,10,0,0,Europe,2877797.0
136,Albania,2020-03-11,12,1,0,Europe,2877797.0
137,Albania,2020-03-12,23,1,0,Europe,2877797.0
138,Albania,2020-03-13,33,1,0,Europe,2877797.0
139,Albania,2020-03-14,38,1,0,Europe,2877797.0
140,Albania,2020-03-15,42,1,0,Europe,2877797.0
141,Albania,2020-03-16,51,1,0,Europe,2877797.0
142,Albania,2020-03-17,55,1,0,Europe,2877797.0
143,Albania,2020-03-18,59,2,0,Europe,2877797.0
144,Albania,2020-03-19,64,2,0,Europe,2877797.0
145,Albania,2020-03-20,70,2,0,Europe,2877797.0
146,Albania,2020-03-21,76,2,2,Europe,2877797.0
147,Albania,2020-03-22,89,2,2,Europe,2877797.0
148,Albania,2020-03-23,104,4,2,Europe,2877797.0
149,Albania,2020-03-24,123,5,10,Europe,2877797.0
150,Albania,2020-03-25,146,5,17,Europe,2877797.0
151,Albania,2020-03-26,174,6,17,Europe,2877797.0
152,Albania,2020-03-27,186,8,31,Europe,2877797.0
153,Albania,2020-03-28,197,10,31,Europe,2877797.0
154,Albania,2020-03-29,212,10,33,Europe,2877797.0
155,Albania,2020-03-30,223,11,44,Europe,2877797.0
156,Albania,2020-03-31,243,15,52,Europe,2877797.0
157,Albania,2020-04-01,259,15,67,Europe,2877797.0
158,Albania,2020-04-02,277,16,76,Europe,2877797.0
159,Albania,2020-04-03,304,17,89,Europe,2877797.0
160,Albania,2020-04-04,333,20,99,Europe,2877797.0
161,Albania,2020-04-05,361,20,104,Europe,2877797.0
162,Albania,2020-04-06,377,21,116,Europe,2877797.0
163,Albania,2020-04-07,383,22,131,Europe,2877797.0
164,Albania,2020-04-08,400,22,154,Europe,2877797.0
165,Albania,2020-04-09,409,23,165,Europe,2877797.0
166,Albania,2020-04-10,416,23,182,Europe,2877797.0
167,Albania,2020-04-11,433,23,197,Europe,2877797.0
168,Albania,2020-04-12,446,23,217,Europe,2877797.0
169,Albania,2020-04-13,467,23,232,Europe,2877797.0
170,Albania,2020-04-14,475,24,248,Europe,2877797.0
171,Albania,2020-04-15,494,25,251,Europe,2877797.0
172,Albania,2020-04-16,518,26,277,Europe,2877797.0
173,Albania,2020-04-17,539,26,283,Europe,2877797.0
174,Algeria,2020-01-22,0,0,0,Africa,43851044.0
175,Algeria,2020-01-23,0,0,0,Africa,43851044.0
176,Algeria,2020-01-24,0,0,0,Africa,43851044.0
177,Algeria,2020-01-25,0,0,0,Africa,43851044.0
178,Algeria,2020-01-26,0,0,0,Africa,43851044.0
179,Algeria,2020-01-27,0,0,0,Africa,43851044.0
180,Algeria,2020-01-28,0,0,0,Africa,43851044.0
181,Algeria,2020-01-29,0,0,0,Africa,43851044.0
182,Algeria,2020-01-30,0,0,0,Africa,43851044.0
183,Algeria,2020-01-31,0,0,0,Africa,43851044.0
184,Algeria,2020-02-01,0,0,0,Africa,43851044.0
185,Algeria,2020-02-02,0,0,0,Africa,43851044.0
186,Algeria,2020-02-03,0,0,0,Africa,43851044.0
187,Algeria,2020-02-04,0,0,0,Africa,43851044.0
188,Algeria,2020-02-05,0,0,0,Africa,43851044.0
189,Algeria,2020-02-06,0,0,0,Africa,43851044.0
190,Algeria,2020-02-07,0,0,0,Africa,43851044.0
191,Algeria,2020-02-08,0,0,0,Africa,43851044.0
192,Algeria,2020-02-09,0,0,0,Africa,43851044.0
193,Algeria,2020-02-10,0,0,0,Africa,43851044.0
194,Algeria,2020-02-11,0,0,0,Africa,43851044.0
195,Algeria,2020-02-12,0,0,0,Africa,43851044.0
196,Algeria,2020-02-13,0,0,0,Africa,43851044.0
197,Algeria,2020-02-14,0,0,0,Africa,43851044.0
198,Algeria,2020-02-15,0,0,0,Africa,43851044.0
199,Algeria,2020-02-16,0,0,0,Africa,43851044.0
200,Algeria,2020-02-17,0,0,0,Africa,43851044.0
201,Algeria,2020-02-18,0,0,0,Africa,43851044.0
202,Algeria,2020-02-19,0,0,0,Africa,43851044.0
203,Algeria,2020-02-20,0,0,0,Africa,43851044.0
204,Algeria,2020-02-21,0,0,0,Africa,43851044.0
205,Algeria,2020-02-22,0,0,0,Africa,43851044.0
206,Algeria,2020-02-23,0,0,0,Africa,43851044.0
207,Algeria,2020-02-24,0,0,0,Africa,43851044.0
208,Algeria,2020-02-25,1,0,0,Africa,43851044.0
209,Algeria,2020-02-26,1,0,0,Africa,43851044.0
210,Algeria,2020-02-27,1,0,0,Africa,43851044.0
211,Algeria,2020-02-28,1,0,0,Africa,43851044.0
212,Algeria,2020-02-29,1,0,0,Africa,43851044.0
213,Algeria,2020-03-01,1,0,0,Africa,43851044.0
214,Algeria,2020-03-02,3,0,0,Africa,43851044.0
215,Algeria,2020-03-03,5,0,0,Africa,43851044.0
216,Algeria,2020-03-04,12,0,0,Africa,43851044.0
217,Algeria,2020-03-05,12,0,0,Africa,43851044.0
218,Algeria,2020-03-06,17,0,0,Africa,43851044.0
219,Algeria,2020-03-07,17,0,0,Africa,43851044.0
220,Algeria,2020-03-08,19,0,0,Africa,43851044.0
221,Algeria,2020-03-09,20,0,0,Africa,43851044.0
222,Algeria,2020-03-10,20,0,0,Africa,43851044.0
223,Algeria,2020-03-11,20,0,0,Africa,43851044.0
224,Algeria,2020-03-12,24,1,8,Africa,43851044.0
225,Algeria,2020-03-13,26,2,8,Africa,43851044.0
226,Algeria,2020-03-14,37,3,12,Africa,43851044.0
227,Algeria,2020-03-15,48,4,12,Africa,43851044.0
228,Algeria,2020-03-16,54,4,12,Africa,43851044.0
229,Algeria,2020-03-17,60,4,12,Africa,43851044.0
230,Algeria,2020-03-18,74,7,12,Africa,43851044.0
231,Algeria,2020-03-19,87,9,32,Africa,43851044.0
232,Algeria,2020-03-20,90,11,32,Africa,43851044.0
233,Algeria,2020-03-21,139,15,32,Africa,43851044.0
234,Algeria,2020-03-22,201,17,65,Africa,43851044.0
235,Algeria,2020-03-23,230,17,65,Africa,43851044.0
236,Algeria,2020-03-24,264,19,24,Africa,43851044.0
237,Algeria,2020-03-25,302,21,65,Africa,43851044.0
238,Algeria,2020-03-26,367,25,29,Africa,43851044.0
239,Algeria,2020-03-27,409,26,29,Africa,43851044.0
240,Algeria,2020-03-28,454,29,31,Africa,43851044.0
241,Algeria,2020-03-29,511,31,31,Africa,43851044.0
242,Algeria,2020-03-30,584,35,37,Africa,43851044.0
243,Algeria,2020-03-31,716,44,46,Africa,43851044.0
244,Algeria,2020-04-01,847,58,61,Africa,43851044.0
245,Algeria,2020-04-02,986,86,61,Africa,43851044.0
246,Algeria,2020-04-03,1171,105,62,Africa,43851044.0
247,Algeria,2020-04-04,1251,130,90,Africa,43851044.0
248,Algeria,2020-04-05,1320,152,90,Africa,43851044.0
249,Algeria,2020-04-06,1423,173,90,Africa,43851044.0
250,Algeria,2020-04-07,1468,193,113,Africa,43851044.0
251,Algeria,2020-04-08,1572,205,237,Africa,43851044.0
252,Algeria,2020-04-09,1666,235,347,Africa,43851044.0
253,Algeria,2020-04-10,1761,256,405,Africa,43851044.0
254,Algeria,2020-04-11,1825,275,460,Africa,43851044.0
255,Algeria,2020-04-12,1914,293,591,Africa,43851044.0
256,Algeria,2020-04-13,1983,313,601,Africa,43851044.0
257,Algeria,2020-04-14,2070,326,691,Africa,43851044.0
258,Algeria,2020-04-15,2160,336,708,Africa,43851044.0
259,Algeria,2020-04-16,2268,348,783,Africa,43851044.0
260,Algeria,2020-04-17,2418,364,846,Africa,43851044.0
261,Andorra,2020-01-22,0,0,0,Europe,77265.0
262,Andorra,2020-01-23,0,0,0,Europe,77265.0
263,Andorra,2020-01-24,0,0,0,Europe,77265.0
264,Andorra,2020-01-25,0,0,0,Europe,77265.0
265,Andorra,2020-01-26,0,0,0,Europe,77265.0
266,Andorra,2020-01-27,0,0,0,Europe,77265.0
267,Andorra,2020-01-28,0,0,0,Europe,77265.0
268,Andorra,2020-01-29,0,0,0,Europe,77265.0
269,Andorra,2020-01-30,0,0,0,Europe,77265.0
270,Andorra,2020-01-31,0,0,0,Europe,77265.0
271,Andorra,2020-02-01,0,0,0,Europe,77265.0
272,Andorra,2020-02-02,0,0,0,Europe,77265.0
273,Andorra,2020-02-03,0,0,0,Europe,77265.0
274,Andorra,2020-02-04,0,0,0,Europe,77265.0
275,Andorra,2020-02-05,0,0,0,Europe,77265.0
276,Andorra,2020-02-06,0,0,0,Europe,77265.0
277,Andorra,2020-02-07,0,0,0,Europe,77265.0
278,Andorra,2020-02-08,0,0,0,Europe,77265.0
279,Andorra,2020-02-09,0,0,0,Europe,77265.0
280,Andorra,2020-02-10,0,0,0,Europe,77265.0
281,Andorra,2020-02-11,0,0,0,Europe,77265.0
282,Andorra,2020-02-12,0,0,0,Europe,77265.0
283,Andorra,2020-02-13,0,0,0,Europe,77265.0
284,Andorra,2020-02-14,0,0,0,Europe,77265.0
285,Andorra,2020-02-15,0,0,0,Europe,77265.0
286,Andorra,2020-02-16,0,0,0,Europe,77265.0
287,Andorra,2020-02-17,0,0,0,Europe,77265.0
288,Andorra,2020-02-18,0,0,0,Europe,77265.0
289,Andorra,2020-02-19,0,0,0,Europe,77265.0
290,Andorra,2020-02-20,0,0,0,Europe,77265.0
291,Andorra,2020-02-21,0,0,0,Europe,77265.0
292,Andorra,2020-02-22,0,0,0,Europe,77265.0
293,Andorra,2020-02-23,0,0,0,Europe,77265.0
294,Andorra,2020-02-24,0,0,0,Europe,77265.0
295,Andorra,2020-02-25,0,0,0,Europe,77265.0
296,Andorra,2020-02-26,0,0,0,Europe,77265.0
297,Andorra,2020-02-27,0,0,0,Europe,77265.0
298,Andorra,2020-02-28,0,0,0,Europe,77265.0
299,Andorra,2020-02-29,0,0,0,Europe,77265.0
300,Andorra,2020-03-01,0,0,0,Europe,77265.0
301,Andorra,2020-03-02,1,0,0,Europe,77265.0
302,Andorra,2020-03-03,1,0,0,Europe,77265.0
303,Andorra,2020-03-04,1,0,0,Europe,77265.0
304,Andorra,2020-03-05,1,0,0,Europe,77265.0
305,Andorra,2020-03-06,1,0,0,Europe,77265.0
306,Andorra,2020-03-07,1,0,0,Europe,77265.0
307,Andorra,2020-03-08,1,0,0,Europe,77265.0
308,Andorra,2020-03-09,1,0,0,Europe,77265.0
309,Andorra,2020-03-10,1,0,0,Europe,77265.0
310,Andorra,2020-03-11,1,0,0,Europe,77265.0
311,Andorra,2020-03-12,1,0,1,Europe,77265.0
312,Andorra,2020-03-13,1,0,0,Europe,77265.0
313,Andorra,2020-03-14,1,0,1,Europe,77265.0
314,Andorra,2020-03-15,1,0,1,Europe,77265.0
315,Andorra,2020-03-16,2,0,1,Europe,77265.0
316,Andorra,2020-03-17,39,0,1,Europe,77265.0
317,Andorra,2020-03-18,39,0,1,Europe,77265.0
318,Andorra,2020-03-19,53,0,1,Europe,77265.0
319,Andorra,2020-03-20,75,0,1,Europe,77265.0
320,Andorra,2020-03-21,88,0,1,Europe,77265.0
321,Andorra,2020-03-22,113,1,1,Europe,77265.0
322,Andorra,2020-03-23,133,1,1,Europe,77265.0
323,Andorra,2020-03-24,164,1,1,Europe,77265.0
324,Andorra,2020-03-25,188,1,1,Europe,77265.0
325,Andorra,2020-03-26,224,3,1,Europe,77265.0
326,Andorra,2020-03-27,267,3,1,Europe,77265.0
327,Andorra,2020-03-28,308,3,1,Europe,77265.0
328,Andorra,2020-03-29,334,6,1,Europe,77265.0
329,Andorra,2020-03-30,370,8,10,Europe,77265.0
330,Andorra,2020-03-31,376,12,10,Europe,77265.0
331,Andorra,2020-04-01,390,14,10,Europe,77265.0
332,Andorra,2020-04-02,428,15,10,Europe,77265.0
333,Andorra,2020-04-03,439,16,16,Europe,77265.0
334,Andorra,2020-04-04,466,17,21,Europe,77265.0
335,Andorra,2020-04-05,501,18,26,Europe,77265.0
336,Andorra,2020-04-06,525,21,31,Europe,77265.0
337,Andorra,2020-04-07,545,22,39,Europe,77265.0
338,Andorra,2020-04-08,564,23,52,Europe,77265.0
339,Andorra,2020-04-09,583,25,58,Europe,77265.0
340,Andorra,2020-04-10,601,26,71,Europe,77265.0
341,Andorra,2020-04-11,601,26,71,Europe,77265.0
342,Andorra,2020-04-12,638,29,128,Europe,77265.0
343,Andorra,2020-04-13,646,29,128,Europe,77265.0
344,Andorra,2020-04-14,659,31,128,Europe,77265.0
345,Andorra,2020-04-15,673,33,169,Europe,77265.0
346,Andorra,2020-04-16,673,33,169,Europe,77265.0
347,Andorra,2020-04-17,696,35,191,Europe,77265.0
348,Angola,2020-01-22,0,0,0,Africa,32866272.0
349,Angola,2020-01-23,0,0,0,Africa,32866272.0
350,Angola,2020-01-24,0,0,0,Africa,32866272.0
351,Angola,2020-01-25,0,0,0,Africa,32866272.0
352,Angola,2020-01-26,0,0,0,Africa,32866272.0
353,Angola,2020-01-27,0,0,0,Africa,32866272.0
354,Angola,2020-01-28,0,0,0,Africa,32866272.0
355,Angola,2020-01-29,0,0,0,Africa,32866272.0
356,Angola,2020-01-30,0,0,0,Africa,32866272.0
357,Angola,2020-01-31,0,0,0,Africa,32866272.0
358,Angola,2020-02-01,0,0,0,Africa,32866272.0
359,Angola,2020-02-02,0,0,0,Africa,32866272.0
360,Angola,2020-02-03,0,0,0,Africa,32866272.0
361,Angola,2020-02-04,0,0,0,Africa,32866272.0
362,Angola,2020-02-05,0,0,0,Africa,32866272.0
363,Angola,2020-02-06,0,0,0,Africa,32866272.0
364,Angola,2020-02-07,0,0,0,Africa,32866272.0
365,Angola,2020-02-08,0,0,0,Africa,32866272.0
366,Angola,2020-02-09,0,0,0,Africa,32866272.0
367,Angola,2020-02-10,0,0,0,Africa,32866272.0
368,Angola,2020-02-11,0,0,0,Africa,32866272.0
369,Angola,2020-02-12,0,0,0,Africa,32866272.0
370,Angola,2020-02-13,0,0,0,Africa,32866272.0
371,Angola,2020-02-14,0,0,0,Africa,32866272.0
372,Angola,2020-02-15,0,0,0,Africa,32866272.0
373,Angola,2020-02-16,0,0,0,Africa,32866272.0
374,Angola,2020-02-17,0,0,0,Africa,32866272.0
375,Angola,2020-02-18,0,0,0,Africa,32866272.0
376,Angola,2020-02-19,0,0,0,Africa,32866272.0
377,Angola,2020-02-20,0,0,0,Africa,32866272.0
378,Angola,2020-02-21,0,0,0,Africa,32866272.0
379,Angola,2020-02-22,0,0,0,Africa,32866272.0
380,Angola,2020-02-23,0,0,0,Africa,32866272.0
381,Angola,2020-02-24,0,0,0,Africa,32866272.0
382,Angola,2020-02-25,0,0,0,Africa,32866272.0
383,Angola,2020-02-26,0,0,0,Africa,32866272.0
384,Angola,2020-02-27,0,0,0,Africa,32866272.0
385,Angola,2020-02-28,0,0,0,Africa,32866272.0
386,Angola,2020-02-29,0,0,0,Africa,32866272.0
387,Angola,2020-03-01,0,0,0,Africa,32866272.0
388,Angola,2020-03-02,0,0,0,Africa,32866272.0
389,Angola,2020-03-03,0,0,0,Africa,32866272.0
390,Angola,2020-03-04,0,0,0,Africa,32866272.0
391,Angola,2020-03-05,0,0,0,Africa,32866272.0
392,Angola,2020-03-06,0,0,0,Africa,32866272.0
393,Angola,2020-03-07,0,0,0,Africa,32866272.0
394,Angola,2020-03-08,0,0,0,Africa,32866272.0
395,Angola,2020-03-09,0,0,0,Africa,32866272.0
396,Angola,2020-03-10,0,0,0,Africa,32866272.0
397,Angola,2020-03-11,0,0,0,Africa,32866272.0
398,Angola,2020-03-12,0,0,0,Africa,32866272.0
399,Angola,2020-03-13,0,0,0,Africa,32866272.0
400,Angola,2020-03-14,0,0,0,Africa,32866272.0
401,Angola,2020-03-15,0,0,0,Africa,32866272.0
402,Angola,2020-03-16,0,0,0,Africa,32866272.0
403,Angola,2020-03-17,0,0,0,Africa,32866272.0
404,Angola,2020-03-18,0,0,0,Africa,32866272.0
405,Angola,2020-03-19,0,0,0,Africa,32866272.0
406,Angola,2020-03-20,1,0,0,Africa,32866272.0
407,Angola,2020-03-21,2,0,0,Africa,32866272.0
408,Angola,2020-03-22,2,0,0,Africa,32866272.0
409,Angola,2020-03-23,3,0,0,Africa,32866272.0
410,Angola,2020-03-24,3,0,0,Africa,32866272.0
411,Angola,2020-03-25,3,0,0,Africa,32866272.0
412,Angola,2020-03-26,4,0,0,Africa,32866272.0
413,Angola,2020-03-27,4,0,0,Africa,32866272.0
414,Angola,2020-03-28,5,0,0,Africa,32866272.0
415,Angola,2020-03-29,7,2,0,Africa,32866272.0
416,Angola,2020-03-30,7,2,0,Africa,32866272.0
417,Angola,2020-03-31,7,2,1,Africa,32866272.0
418,Angola,2020-04-01,8,2,1,Africa,32866272.0
419,Angola,2020-04-02,8,2,1,Africa,32866272.0
420,Angola,2020-04-03,8,2,1,Africa,32866272.0
421,Angola,2020-04-04,10,2,2,Africa,32866272.0
422,Angola,2020-04-05,14,2,2,Africa,32866272.0
423,Angola,2020-04-06,16,2,2,Africa,32866272.0
424,Angola,2020-04-07,17,2,2,Africa,32866272.0
425,Angola,2020-04-08,19,2,2,Africa,32866272.0
426,Angola,2020-04-09,19,2,2,Africa,32866272.0
427,Angola,2020-04-10,19,2,2,Africa,32866272.0
428,Angola,2020-04-11,19,2,4,Africa,32866272.0
429,Angola,2020-04-12,19,2,4,Africa,32866272.0
430,Angola,2020-04-13,19,2,4,Africa,32866272.0
431,Angola,2020-04-14,19,2,5,Africa,32866272.0
432,Angola,2020-04-15,19,2,5,Africa,32866272.0
433,Angola,2020-04-16,19,2,5,Africa,32866272.0
434,Angola,2020-04-17,19,2,5,Africa,32866272.0
435,Antigua and Barbuda,2020-01-22,0,0,0,Caribbean & Central America,97929.0
436,Antigua and Barbuda,2020-01-23,0,0,0,Caribbean & Central America,97929.0
437,Antigua and Barbuda,2020-01-24,0,0,0,Caribbean & Central America,97929.0
438,Antigua and Barbuda,2020-01-25,0,0,0,Caribbean & Central America,97929.0
439,Antigua and Barbuda,2020-01-26,0,0,0,Caribbean & Central America,97929.0
440,Antigua and Barbuda,2020-01-27,0,0,0,Caribbean & Central America,97929.0
441,Antigua and Barbuda,2020-01-28,0,0,0,Caribbean & Central America,97929.0
442,Antigua and Barbuda,2020-01-29,0,0,0,Caribbean & Central America,97929.0
443,Antigua and Barbuda,2020-01-30,0,0,0,Caribbean & Central America,97929.0
444,Antigua and Barbuda,2020-01-31,0,0,0,Caribbean & Central America,97929.0
445,Antigua and Barbuda,2020-02-01,0,0,0,Caribbean & Central America,97929.0
446,Antigua and Barbuda,2020-02-02,0,0,0,Caribbean & Central America,97929.0
447,Antigua and Barbuda,2020-02-03,0,0,0,Caribbean & Central America,97929.0
448,Antigua and Barbuda,2020-02-04,0,0,0,Caribbean & Central America,97929.0
449,Antigua and Barbuda,2020-02-05,0,0,0,Caribbean & Central America,97929.0
450,Antigua and Barbuda,2020-02-06,0,0,0,Caribbean & Central America,97929.0
451,Antigua and Barbuda,2020-02-07,0,0,0,Caribbean & Central America,97929.0
452,Antigua and Barbuda,2020-02-08,0,0,0,Caribbean & Central America,97929.0
453,Antigua and Barbuda,2020-02-09,0,0,0,Caribbean & Central America,97929.0
454,Antigua and Barbuda,2020-02-10,0,0,0,Caribbean & Central America,97929.0
455,Antigua and Barbuda,2020-02-11,0,0,0,Caribbean & Central America,97929.0
456,Antigua and Barbuda,2020-02-12,0,0,0,Caribbean & Central America,97929.0
457,Antigua and Barbuda,2020-02-13,0,0,0,Caribbean & Central America,97929.0
